,molecule_chembl_id,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50,bioactivity_class
36,CHEMBL92956,COc1cccc(C2CC3=Nc4ccc(Cl)cc4S(=O)(=O)C3=C(O)C2)c1OC,419.88600000000025,4.564200000000004,1.0,6.0,5.3979400086720375,intermediate
37,CHEMBL91050,OC1=C2Sc3cc(Cl)ccc3N=C2CC(c2ccc(Cl)cc2)C1,362.28100000000006,6.518800000000003,1.0,3.0,5.3979400086720375,intermediate
38,CHEMBL329532,COc1ccc(C2CC3=Nc4ccc(F)cc4S(=O)(=O)C3=C(O)C2)cc1OC,403.4310000000002,4.049900000000003,1.0,6.0,5.301029995663981,intermediate
39,CHEMBL93465,COc1cccc(C2CC3=Nc4ccc(F)cc4SC3=C(O)C2)c1,341.4070000000001,5.359700000000003,1.0,4.0,4.698970004336019,inactive
40,CHEMBL91856,O=S1(=O)C2=C(O)CC(c3ccc(Cl)cc3)CC2=Nc2ccc(Cl)cc21,394.27900000000017,5.200400000000002,1.0,4.0,5.3979400086720375,intermediate
41,CHEMBL93341,COc1cccc(C2CC3=Nc4ccc(F)cc4S(=O)(=O)C3=C(O)C2)c1,373.40500000000014,4.041300000000002,1.0,5.0,5.301029995663981,intermediate
42,CHEMBL326220,C/C(=N\N=C(/S)N1CCN(C)CC1)c1cccc(Br)c1,355.305,2.7063000000000015,1.0,3.0,4.698970004336019,inactive
43,CHEMBL73007,CS/C(S)=N/N=C(\C)c1ccccn1,225.34200000000004,2.4544000000000006,1.0,4.0,4.698970004336019,inactive
44,CHEMBL107612,C/C(=N\N=C(\N)S)c1ccc(Nc2ccccc2)cc1,284.38800000000003,3.3987000000000016,3.0,3.0,4.698970004336019,inactive
45,CHEMBL323975,C/C(=N\N=C(\N)S)c1ccc(-c2ccccc2)cc1,269.37300000000005,3.3221000000000016,2.0,2.0,5.0,inactive
46,CHEMBL416771,C/C(=N\NC(N)=S)c1ccccn1,194.26300000000003,0.6388000000000003,2.0,3.0,4.698970004336019,inactive
47,CHEMBL325549,C/C(=N/N=C(/N)S)c1cccc(/C(C)=N/N=C(/N)S)n1,309.42400000000004,1.0186000000000002,4.0,5.0,4.698970004336019,inactive
48,CHEMBL181504,CCCC/C(=N\NC(N)=S)c1ccc(Cl)c(Cl)c1,304.246,3.720900000000001,2.0,2.0,6.2076083105017466,active
49,CHEMBL181902,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CCCCC1,330.2840000000002,4.522300000000002,2.0,2.0,4.853871964321762,inactive
50,CHEMBL181752,N/C(S)=N/N=C(\C=C\c1ccccc1)c1ccc(Cl)c(Cl)c1,350.2740000000001,4.655400000000002,2.0,2.0,6.327902142064283,active
