molecule_chembl_id,canonical_smiles,standard_value
CHEMBL194821,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1,2600.0
CHEMBL195822,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)cc1,2500.0
CHEMBL191640,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccc(F)cc2F)cc1,2600.0
CHEMBL192149,COc1cc(/C=C/C(=O)c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)cc(OC)c1OC,1800.0
CHEMBL191457,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccccc2)cc1,3800.0
CHEMBL373022,O=C(Nc1ccc(Cl)cc1)Nc1ccc(C(=O)/C=C/c2ccccn2)cc1,3400.0
CHEMBL370877,COc1ccc(NC(=O)Nc2ccc(C(=O)/C=C/c3ccccn3)cc2)cc1,12500.0
CHEMBL191881,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,5.8
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,58.0
CHEMBL381093,O=S(=O)(NCc1ccco1)c1ccc2c(c1)Cc1cc(S(=O)(=O)NCc3ccco3)ccc1-2,1400.0
CHEMBL374508,CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,15.0
CHEMBL204973,Cc1csc(Cn2nc(CC(=O)N/N=C/c3ccccc3)c3ccccc3c2=O)n1,54300.0
CHEMBL204850,O=C(CSc1nnc(O)n1Cc1ccco1)c1ccc2c(c1)OCCO2,52300.0
CHEMBL204452,N=C(CS(=O)(=O)Cc1ccc(F)cc1)NOC(=O)c1cccs1,50000.0
CHEMBL380140,Cc1nc(C)nc(N(CCS(=O)(=O)c2ccccc2)CCS(=O)(=O)c2ccccc2)n1,13200.0
CHEMBL383231,COC(=O)c1sccc1NC(=O)CC(=O)Nc1ccsc1C(=O)OC,10400.0
CHEMBL203856,Cn1c(O)c(/N=N/C(=O)CCCCC(=O)/N=N/c2c(O)n(C)c3ccccc23)c2ccccc21,6500.0
CHEMBL203823,CCCc1cc(O)nc(SCC(=O)NCCSCc2ccco2)n1,4600.0
CHEMBL204344,CCCS(=O)(=O)c1cscc1NC(=O)CSCCS(=O)(=O)c1ccc(Cl)cc1,3400.0
CHEMBL203802,Cc1ccc(S(=O)(=O)N(C)C)cc1NS(=O)(=O)c1ccc(-c2ccon2)s1,2900.0
CHEMBL203801,Cc1cccc(NC(=O)Cn2c(O)c(/N=N/C(=O)C(=O)NCc3ccccc3)c3ccccc32)c1,1600.0
CHEMBL382027,O=S(=O)(Cc1ccc(Cl)cc1)Cc1nc(-c2ccsc2)no1,47800.0
CHEMBL379228,Cc1ccc(S(=O)(=O)NC(=O)NCC2CCN(S(=O)(=O)c3ccccc3)CC2)cc1,19000.0
CHEMBL204491,O=C(CCSSCCC(=O)NCc1ccccc1)NCc1ccccc1,15300.0
CHEMBL205056,COC(=O)c1ccsc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1,14300.0
CHEMBL440764,CCOC(=O)c1c2cc(OCC(=O)NCc3ccco3)ccc2n2ccccc12,13800.0
CHEMBL204035,O=C(Cn1nnc(-c2ccccc2)n1)NN/C=N\OCc1c(F)cccc1Cl,10800.0
CHEMBL203649,O=S(=O)(c1ccc(-c2ccc(S(=O)(=O)N3CCOCC3)s2)s1)N1CCOCC1,5400.0
CHEMBL377557,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccccc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,21540.0
CHEMBL423112,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(C=O)Cc1ccccc1,5000.0
CHEMBL210211,O=C(CN1C(=O)[C@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,10290.0
CHEMBL378223,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(Cl)cc2C(F)(F)F)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,8680.0
CHEMBL209147,Cc1cc(Cl)ccc1NC(=O)OC[C@H]1N=C(c2ccccc2)c2ccccc2N(CC(=O)N[C@H]2CC(=O)OC2O)C1=O,8250.0
CHEMBL437308,O=C(CN1C(=O)[C@@H](COC(=O)Nc2c(F)cc(F)cc2Br)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,19150.0
CHEMBL382121,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(F)cc2F)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,13510.0
CHEMBL378475,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccc(F)cc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O,16340.0
